Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-1786.8343564592149	-1788.2073910976305	1.3730346384156213	-1788.2073910976305	0.06486155307867637	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.08796952270743891	0.08215606265756448	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	6.479195429218616	28.26017157660223	
1	-1785.9665801751999	-1787.8054177878603	1.8388376126604031	-1787.8054177878603	0.06486155307867637	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.08796952270743891	0.08215606265756448	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	6.944998403463398	25.302232365142743	
2	-1785.9665801751999	-1787.8054177878603	1.8388376126604031	-1787.8054177878603	0.06486155307867637	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.08796952270743891	0.08215606265756448	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	6.944998403463398	25.302232365142743	
3	-1781.7362893293157	-1785.5689542973885	3.8326649680727574	-1785.5689542973885	0.05726393913397277	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.06964103240835968	0.023914437894798597	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	7.536782733971933	20.4042203940149	
4	-1781.6961819188364	-1785.3791629438745	3.682981025037984	-1785.3791629438745	0.06822765692775551	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.06964103240835968	0.023914437894798597	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	7.387098790937159	15.858868289662722	
5	-1781.6961819188364	-1785.3791629438745	3.682981025037984	-1785.3791629438745	0.06822765692775551	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.06964103240835968	0.023914437894798597	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	7.387098790937159	15.858868289662722	
6	-1781.6961819188364	-1785.3791629438745	3.682981025037984	-1785.3791629438745	0.06822765692775551	0.09860442106309449	0.8711983217480571	0.027713611069572045	0.06964103240835968	0.023914437894798597	0.2548482757221505	0.2510432175606828	0.2115288710113888	0.2825796357057778	7.387098790937159	15.858868289662722	
7	-1776.5073510108023	-1781.7689194197055	5.261568408903154	-1781.7689194197055	0.06611566537830911	0.07472609284512109	0.692484721150598	0.02955445072237324	0.01824628358162741	0.02010903358947727	0.25568359913823624	0.2485957630008287	0.20246552469693702	0.293255113163998	7.091524695223898	17.986510674036186	
8	-1774.773878387819	-1781.2535856473887	6.479707259569656	-1781.2535856473887	0.06135853331823988	0.05859222465619662	0.692484721150598	0.02955445072237324	0.009067760956888235	0.011763099285438446	0.25568359913823624	0.251940410489039	0.20246552469693702	0.2899104656757877	6.901565894017938	31.144230969540512	
