#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
11	-1934.554750958185	-1929.0461500008582	-1934.554750958185	5.508600957326745	-1934.554750958185	0.07705828469865804	5.508600957326745	28.089030808413646
12	-1931.30752761383	-1924.390225966687	-1931.30752761383	6.917301647142852	-1931.30752761383	0.06805645307366763	6.917301647142852	11.234917038361912
13	-1930.8970746315479	-1923.4613260328813	-1930.8970746315479	7.435748598666487	-1930.8970746315479	0.07087632405956573	7.435748598666487	21.037470056594906
14	-1928.4831045954804	-1920.863963161927	-1928.4831045954804	7.619141433553568	-1928.4831045954804	0.053950069097007634	7.619141433553568	17.02673807127831
15	-1927.2292481389013	-1919.1055394600535	-1927.2292481389013	8.123708678847777	-1927.2292481389013	0.053046003589876295	8.123708678847777	18.352169969857844
16	-1925.8891273915528	-1919.1348602286512	-1925.8891273915528	6.754267162901727	-1925.8891273915528	0.06389322088442881	6.754267162901727	32.358983845100916
17	-1925.0967075472226	-1918.2365894489255	-1925.0967075472226	6.860118098297017	-1925.0967075472226	0.06064779251761696	6.860118098297017	32.0124753541741
18	-1925.0635433543948	-1918.1770879016453	-1925.0635433543948	6.886455452749564	-1925.0635433543948	0.06110284183724831	6.886455452749564	29.9427020752391
19	-1924.9307828486744	-1917.448362393751	-1924.9307828486744	7.482420454923318	-1924.9307828486744	0.05947266810904456	7.482420454923318	22.91749457001523
20	-1924.9170209158426	-1917.4063212068459	-1924.9170209158426	7.5106997089968	-1924.9170209158426	0.060533536153911736	7.5106997089968	15.884684601254605
21	-1924.9088054792953	-1917.635940364569	-1924.9088054792953	7.2728651147262795	-1924.9088054792953	0.05923372230438562	7.2728651147262795	11.779761586059603
22	-1924.9081893463717	-1917.506628767764	-1924.9081893463717	7.401560578607739	-1924.9081893463717	0.0600320296754188	7.401560578607739	13.406288706895726
23	-1924.9034274215055	-1917.3221744148045	-1924.9034274215055	7.581253006700884	-1924.9034274215055	0.06001903305451903	7.581253006700884	17.75098627743071
24	-1924.9012798771528	-1918.8864516465087	-1924.9012798771528	6.0148282306441185	-1924.9012798771528	0.05997069050799816	6.0148282306441185	39.00146388598915
25	-1924.9012315329715	-1917.337727412035	-1924.9012315329715	7.563504120936314	-1924.9012315329715	0.05969651052801133	7.563504120936314	16.8995338372625
26	-1924.900833414124	-1917.3228952381407	-1924.900833414124	7.5779381759833235	-1924.900833414124	0.05973048911799565	7.5779381759833235	19.665525618676195
27	-1924.8962062287492	-1917.3604021217882	-1924.8962062287492	7.535804106961004	-1924.8962062287492	0.060073996911358264	7.535804106961004	20.213836709848685
28	-1924.8961799852236	-1917.33465712654	-1924.8961799852236	7.561522858683736	-1924.8961799852236	0.0599886754011924	7.561522858683736	17.14286495747059
29	-1924.896168710068	-1918.394540376921	-1924.896168710068	6.501628333147044	-1924.896168710068	0.06008393964580668	6.501628333147044	34.493986296032524
30	-1924.896154482287	-1919.249717185488	-1924.896154482287	5.646437296799227	-1924.896154482287	0.06008393964580668	5.646437296799227	41.800844685633095
31	-1924.8961047820299	-1918.0925677330697	-1924.8961047820299	6.803537048960079	-1924.8961047820299	0.06008393964580668	6.803537048960079	31.474811427244514
32	-1924.8961021685732	-1917.3376520362608	-1924.8961021685732	7.5584501323123	-1924.8961021685732	0.06008393964580668	7.5584501323123	17.235953465192274
33	-1924.8960713518109	-1918.1955432075492	-1924.8960713518109	6.700528144261594	-1924.8960713518109	0.06008393964580668	6.700528144261594	32.52988611794399
34	-1924.8960713518109	-1918.1955432075492	-1924.8960713518109	6.700528144261594	-1924.8960713518109	0.06008393964580668	6.700528144261594	32.52988611794399
35	-1924.8960703217529	-1918.0488230877497	-1924.8960703217529	6.847247234003159	-1924.8960703217529	0.06008393964580668	6.847247234003159	31.001992479335733
36	-1924.8960703217529	-1918.0488230877497	-1924.8960703217529	6.847247234003159	-1924.8960703217529	0.06008393964580668	6.847247234003159	31.001992479335733
