#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-2029.6125900834872	-2020.1360808439888	-2029.6125900834872	9.476509239498432	-2029.6125900834872	0.04012680245218324	9.476509239498432	27.572274273876165
1	-2024.4182725017238	-2018.8485977830467	-2024.4182725017238	5.5696747186771045	-2024.4182725017238	0.07286779595080167	5.5696747186771045	29.887357607381272
2	-1984.5681896306685	-1977.547767059363	-1984.5681896306685	7.020422571305467	-1984.5681896306685	0.05435681997616657	7.020422571305467	11.08202712254799
3	-1967.9416990086172	-1960.207265446873	-1967.9416990086172	7.73443356174421	-1967.9416990086172	0.04352823041918937	7.73443356174421	37.09277683947237
4	-1951.1266440251984	-1941.7435437107824	-1951.1266440251984	9.383100314416048	-1951.1266440251984	0.03282406739200996	9.383100314416048	46.05671498475401
5	-1951.0074765694421	-1942.1178100447107	-1951.0074765694421	8.889666524731508	-1951.0074765694421	0.04252437707212917	8.889666524731508	16.07097995502241
6	-1942.533442979186	-1935.3183865733497	-1942.533442979186	7.215056405836264	-1942.533442979186	0.05671466038318217	7.215056405836264	21.690023728375834
7	-1941.1990517146367	-1934.3364651073778	-1941.1990517146367	6.862586607258963	-1941.1990517146367	0.08070740358656713	6.862586607258963	15.268453762460856
8	-1940.6206088822682	-1934.0377358233472	-1940.6206088822682	6.582873058920977	-1940.6206088822682	0.07069690140362994	6.582873058920977	17.178765936554974
9	-1940.5842671259409	-1933.8994451593119	-1940.5842671259409	6.684821966628968	-1940.5842671259409	0.038287857012575165	6.684821966628968	59.28308872205269
10	-1939.8157200137334	-1932.850571743166	-1939.8157200137334	6.96514827056749	-1939.8157200137334	0.08120016284991759	6.96514827056749	16.013922758899046
