#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:primates" name="distribution">
#            <parameter id="clockRate.c:primates" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="crown.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:primates">
#            <taxonset id="crown" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="chimp" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="gorilla" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="human" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="orangutan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="siamang" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">17.58</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="sigma">0.01</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:primates" id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	monophyletic(crown)	logP(mrca(crown))	mrcatime(crown)	clockRate
72000	-1942.823575536017	-1930.581033081011	-12.242542455006072	-1930.581033081011	17.57642685919131	-15.864937431595978	0.07260810035419231	0	3.6223949765899053	17.57642685919131	0.0028814808546066104
73000	-1940.7585338183846	-1927.6819493541268	-13.076584464257927	-1927.6819493541268	17.57355697376885	-16.555253181964932	0.11724968009760142	0	3.478668717707005	17.57355697376885	0.003432367213463059
74000	-1938.6046831129079	-1926.6104392790967	-11.994243833811105	-1926.6104392790967	17.57355697376885	-15.47291255151811	0.059384154528253866	0	3.478668717707005	17.57355697376885	0.003277181129337706
75000	-1938.3374232810409	-1926.2094150962716	-12.128008184769207	-1926.2094150962716	17.57355697376885	-15.606676902476211	0.09259915073499854	0	3.478668717707005	17.57355697376885	0.0037828548683413853
76000	-1939.020148868424	-1927.0082616682241	-12.011887200200018	-1927.0082616682241	17.57355697376885	-15.490555917907022	0.06984992592046664	0	3.478668717707005	17.57355697376885	0.003517488082881698
77000	-1937.8038768411702	-1926.173831590475	-11.630045250695236	-1926.173831590475	17.57299299774456	-15.07078650044007	0.07540976685579898	0	3.4407412497448338	17.57299299774456	0.0032505498481176683
78000	-1941.4659648448612	-1926.9763910597858	-14.489573785075402	-1926.9763910597858	17.578782971168433	-18.168399641974517	0.16124895315998755	0	3.6788258568991146	17.578782971168433	0.003404052481646185
79000	-1940.1011686379231	-1927.6470581647554	-12.45411047316764	-1927.6470581647554	17.578782971168433	-16.132936330066755	0.11137486368260051	0	3.6788258568991146	17.578782971168433	0.003301724748332204
80000	-1938.516963232293	-1926.527430144735	-11.98953308755792	-1926.527430144735	17.572467063058507	-15.392039045518944	0.08527485597373106	0	3.402505957961025	17.572467063058507	0.0030844755124013884
81000	-1942.2271218567596	-1930.606864990861	-11.620256865898686	-1930.606864990861	17.57960340424049	-15.305702077699806	0.07924208881225642	0	3.6854452118011207	17.57960340424049	0.003870258483891138
82000	-1939.970843176106	-1928.6539124850276	-11.316930691078275	-1928.6539124850276	17.579800440719204	-15.002963224328937	0.07355001688751547	0	3.6860325332506627	17.579800440719204	0.003287769557181589
83000	-1937.3267647098944	-1925.5103656238575	-11.816399086036865	-1925.5103656238575	17.579800440719204	-15.502431619287528	0.04260082898969724	0	3.6860325332506627	17.579800440719204	0.00326393742057111
84000	-1937.8527639883303	-1926.5434429236798	-11.309321064650469	-1926.5434429236798	17.575130894660518	-14.877011783399102	0.062071752961379005	0	3.567690718748632	17.575130894660518	0.0037963740526989346
85000	-1939.2800030633819	-1927.4143144281695	-11.865688635212297	-1927.4143144281695	17.575130894660518	-15.433379353960929	0.05125811923138676	0	3.567690718748632	17.575130894660518	0.0032489844333257853
86000	-1940.013891772594	-1926.9452266492544	-13.068665123339635	-1926.9452266492544	17.575130894660518	-16.636355842088268	0.12321343369131374	0	3.567690718748632	17.575130894660518	0.0034257424960993706
87000	-1938.066633302464	-1925.7815664739562	-12.285066828507862	-1925.7815664739562	17.575130894660518	-15.852757547256493	0.09704387120197214	0	3.567690718748632	17.575130894660518	0.0030669142889047938
88000	-1943.92883274647	-1929.421704104273	-14.507128642197024	-1929.421704104273	17.55955273563925	-16.10290719578899	0.030882465968441308	0	1.5957785535919657	17.55955273563925	0.0032478189092356637
89000	-1938.3692380185066	-1926.400313593664	-11.968924424842637	-1926.400313593664	17.591222075581914	-15.02548117579489	0.07013857750033284	0	3.056556750952253	17.591222075581914	0.003184218780130263
90000	-1937.8808629670013	-1925.7020835591652	-12.178779407836107	-1925.7020835591652	17.591222075581914	-15.235336158788359	0.062040424397788056	0	3.056556750952253	17.591222075581914	0.0035807221876574496
91000	-1940.422230959076	-1928.6140158165633	-11.808215142512566	-1928.6140158165633	17.591222075581914	-14.86477189346482	0.05845924506559588	0	3.056556750952253	17.591222075581914	0.004044960268787633
92000	-1940.1975743142818	-1927.1595666547441	-13.038007659537616	-1927.1595666547441	17.591910410953886	-16.014949866868545	0.03151875316113394	0	2.9769422073309286	17.591910410953886	0.0030088003937557995
93000	-1940.3513346585698	-1925.931663740005	-14.419670918564913	-1925.931663740005	17.565757810386312	-17.091702746387412	0.13215289196386507	0	2.672031827822499	17.565757810386312	0.0032133316664690378
94000	-1938.106218746492	-1925.813138372741	-12.293080373751044	-1925.813138372741	17.565757810386312	-14.965112201573543	0.057719964768723334	0	2.672031827822499	17.565757810386312	0.003779997239934272
95000	-1937.5356286578121	-1925.515116833	-12.020511824811953	-1925.515116833	17.574221919524533	-15.539812407690583	0.04009426629731576	0	3.5193005828786297	17.574221919524533	0.003287544337993627
96000	-1940.8630357324896	-1927.374320079596	-13.488715652893763	-1927.374320079596	17.585829322534057	-17.005042299646774	0.13505592691592463	0	3.5163266467530114	17.585829322534057	0.0035751497672077436
97000	-1937.3419764068922	-1925.832107088197	-11.509869318695147	-1925.832107088197	17.575751610435113	-15.105856902003417	0.053055952575082214	0	3.5959875833082697	17.575751610435113	0.0033166746612944427
98000	-1938.4200193034437	-1926.7812070227676	-11.638812280676191	-1926.7812070227676	17.582797734853553	-15.285907331905626	0.06522723071401965	0	3.647095051229435	17.582797734853553	0.003214895202460336
99000	-1941.3642473237671	-1926.1037190663026	-15.260528257464536	-1926.1037190663026	17.591117450587117	-18.328771372462867	0.15724865416716605	0	3.0682431149983307	17.591117450587117	0.003319780289369084
100000	-1939.4449497348946	-1927.0670112895984	-12.377938445296241	-1927.0670112895984	17.591117450587117	-15.446181560294571	0.04999152634450733	0	3.0682431149983307	17.591117450587117	0.003153180002907995
