#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:primates" name="distribution">
#            <parameter id="clockRate.c:primates" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="crown.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:primates">
#            <taxonset id="crown" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="chimp" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="gorilla" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="human" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="orangutan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="siamang" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">17.58</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="sigma">0.01</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:primates" id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	monophyletic(crown)	logP(mrca(crown))	mrcatime(crown)	clockRate
0	-1324730.667952111	-3637.3684527274277	-1321093.2994993837	-3637.3684527274277	1.3251975668866365	-3.9750332959460244	1.0	0	-1321089.3244660876	1.3251975668866365	1.0
1000	-2714.128023300276	-2703.1960756707385	-10.931947629537454	-2703.1960756707385	17.56556058810368	-13.575696202763059	0.20393073557935276	0	2.6437485732256047	17.56556058810368	0.38113877456449646
2000	-2718.166182732653	-2707.1470312279052	-11.019151504747905	-2707.1470312279052	17.599794024453097	-12.746366137282056	0.12641645838848034	0	1.727214632534151	17.599794024453097	0.5287492916909916
3000	-2715.2395182309237	-2704.242169980032	-10.9973482508917	-2704.242169980032	17.599794024453097	-12.724562883425852	0.11551677840689667	0	1.727214632534151	17.599794024453097	0.537932597692633
4000	-2714.6326026748816	-2702.5118385144297	-12.120764160451824	-2702.5118385144297	17.55650646338086	-13.047264498861196	0.07304359619229808	0	0.9265003384093715	17.55650646338086	0.48941452586054207
5000	-2714.392985153671	-2703.976258694077	-10.416726459594134	-2703.976258694077	17.56337837858709	-12.72156662040712	0.11347492761934727	0	2.3048401608129856	17.56337837858709	0.4005540498924737
6000	-2712.055206510387	-2702.9144993006744	-9.140707209712842	-2702.9144993006744	17.582570186476655	-12.793909569872314	0.09458090163252263	0	3.6532023601594728	17.582570186476655	0.29164611863957024
7000	-2711.7776401778247	-2702.435923767671	-9.341716410153646	-2702.435923767671	17.582570186476655	-12.994918770313118	0.15567384595603845	0	3.6532023601594728	17.582570186476655	0.18385013981259443
8000	-2633.0479990091167	-2623.376322805799	-9.671676203317633	-2623.376322805799	17.57355411324209	-13.15016057562211	0.07309824370253518	0	3.478484372304477	17.57355411324209	0.0680989142719375
9000	-1943.2377786569798	-1931.1172055249244	-12.12057313205538	-1931.1172055249244	17.565467828748606	-14.75088477843979	0.09016386040344423	0	2.630311646384409	17.565467828748606	0.004486251488403565
10000	-1941.248200315752	-1927.7376269070446	-13.510573408707426	-1927.7376269070446	17.565467828748606	-16.140885055091836	0.10425101825795907	0	2.630311646384409	17.565467828748606	0.0028594798635215917
11000	-1938.7509098034689	-1926.3411392690955	-12.409770534373301	-1926.3411392690955	17.565467828748606	-15.040082180757711	0.05351343649791518	0	2.630311646384409	17.565467828748606	0.0036677222179921573
12000	-1939.1052926939951	-1926.3190721421622	-12.786220551832807	-1926.3190721421622	17.592023183360254	-15.749667514044544	0.08830992911957514	0	2.9634469622117368	17.592023183360254	0.0030684354947562976
13000	-1937.9575742345528	-1925.5531819652595	-12.404392269293346	-1925.5531819652595	17.592023183360254	-15.367839231505084	0.05310001930395136	0	2.9634469622117368	17.592023183360254	0.003229935534261139
14000	-1940.6057493273788	-1927.7449120955227	-12.860837231856138	-1927.7449120955227	17.596097121346897	-15.251482306355598	0.05898038566437471	0	2.390645074499461	17.596097121346897	0.0035927134337549807
15000	-1940.3361582880666	-1928.332886530577	-12.00327175748955	-1928.332886530577	17.588060146641702	-15.364673590844138	0.09605599956902085	0	3.3614018333545874	17.588060146641702	0.004060127275543314
16000	-1939.3228799059113	-1926.6072544206977	-12.71562548521359	-1926.6072544206977	17.567110451510835	-15.571154836724599	0.08461307338062014	0	2.8555293515110103	17.567110451510835	0.0031639264060540004
17000	-1941.401610332318	-1928.616574729932	-12.78503560238593	-1928.616574729932	17.59483200007602	-15.37132612389363	0.11047336158082224	0	2.5862905215076992	17.59483200007602	0.004076120131401384
18000	-1937.5545651575835	-1925.8897467859792	-11.664818371604273	-1925.8897467859792	17.579038352177378	-15.346426191713936	0.06937752209150914	0	3.6816078201096634	17.579038352177378	0.002989366291959864
19000	-1937.511075130879	-1925.3971720180662	-12.11390311281269	-1925.3971720180662	17.59091328972788	-15.204635302172722	0.07804926288775553	0	3.090732189360033	17.59091328972788	0.0037090560250272885
20000	-1938.7746723559085	-1925.8726639348079	-12.902008421100623	-1925.8726639348079	17.59526305265572	-15.423436192027257	0.08463831460931631	0	2.521427770926634	17.59526305265572	0.003773883465751153
21000	-1940.5897601041468	-1927.3005169526123	-13.289243151534517	-1927.3005169526123	17.586720328745123	-16.74966071210517	0.11954898601081528	0	3.4604175605706544	17.586720328745123	0.003669227944484398
22000	-1938.9153804758623	-1926.809446933511	-12.105933542351206	-1926.809446933511	17.583864302054494	-15.717501043292742	0.10501459465409305	0	3.6115675009415362	17.583864302054494	0.0035264544192196217
23000	-1941.3286936387542	-1927.838068920605	-13.490624718149178	-1927.838068920605	17.55999164336912	-15.175184695590517	0.07735615602417578	0	1.6845599774413387	17.55999164336912	0.0030920215867005192
24000	-1941.0602452314317	-1928.2197819379282	-12.84046329350354	-1928.2197819379282	17.578947935037533	-16.521160742860722	0.10255197632458682	0	3.680697449357184	17.578947935037533	0.0028273304286125676
25000	-1938.0657876658374	-1926.6291445249183	-11.436643140919074	-1926.6291445249183	17.578947935037533	-15.117340590276259	0.05640008438602661	0	3.680697449357184	17.578947935037533	0.0031503738551751756
26000	-1944.4738297918705	-1931.9402772991384	-12.533552492732046	-1931.9402772991384	17.57739679604784	-16.185900791432786	0.027644109812921584	0	3.6523482987007414	17.57739679604784	0.0028869609966718705
27000	-1938.7583374863684	-1926.9490866541469	-11.80925083222156	-1926.9490866541469	17.581506741135083	-15.484131140764195	0.09444849383950311	0	3.6748803085426345	17.581506741135083	0.0035832095498258346
28000	-1941.6541120685986	-1928.4358346981649	-13.218277370433709	-1928.4358346981649	17.581506741135083	-16.893157678976344	0.12168405810096551	0	3.6748803085426345	17.581506741135083	0.002671751765872443
29000	-1940.7247985690428	-1928.7338603727392	-11.990938196303665	-1928.7338603727392	17.581506741135083	-15.6658185048463	0.12513420318490445	0	3.6748803085426345	17.581506741135083	0.003561682734567987
30000	-1941.1708547042429	-1929.4640077991921	-11.706846905050641	-1929.4640077991921	17.576830498963794	-15.34284987374156	0.07227582170232948	0	3.6360029686909185	17.576830498963794	0.003781495642422502
31000	-1939.2073572583176	-1926.2420530469608	-12.965304211356921	-1926.2420530469608	17.576830498963794	-16.60130718004784	0.12199889382434671	0	3.6360029686909185	17.576830498963794	0.0033578252012147793
32000	-1939.9035339874467	-1928.119650132336	-11.78388385511088	-1928.119650132336	17.576830498963794	-15.419886823801798	0.08119192885854262	0	3.6360029686909185	17.576830498963794	0.0033736614936992187
33000	-1937.9046041692536	-1926.4378745453168	-11.466729623936669	-1926.4378745453168	17.576830498963794	-15.102732592627587	0.06558198085546695	0	3.6360029686909185	17.576830498963794	0.003744457586663264
34000	-1940.6061813406645	-1925.96999699567	-14.63618434499444	-1925.96999699567	17.60225750281109	-15.845433840849397	0.03331743339706762	0	1.2092494958549578	17.60225750281109	0.0030818581566386654
35000	-1939.746571499532	-1928.042077709931	-11.70449378960089	-1928.042077709931	17.569722573254676	-14.862597939857004	0.0555395512067795	0	3.1581041502561127	17.569722573254676	0.003605670196530623
36000	-1938.5328830919423	-1926.7327188107397	-11.800164281202608	-1926.7327188107397	17.581853594056007	-15.469216879363676	0.11193269211901148	0	3.669052598161069	17.581853594056007	0.003926805007598204
37000	-1939.3611166287594	-1926.3184169951628	-13.042699633596683	-1926.3184169951628	17.581853594056007	-16.711752231757753	0.1157240162204346	0	3.669052598161069	17.581853594056007	0.0031163539933432385
38000	-1939.1081769664986	-1927.4312189111536	-11.676958055345033	-1927.4312189111536	17.581853594056007	-15.346010653506102	0.04010041527558787	0	3.669052598161069	17.581853594056007	0.003949584331522103
39000	-1937.7641683187157	-1925.7658807962357	-11.998287522480013	-1925.7658807962357	17.573391386532464	-15.46615031544704	0.08555281730250457	0	3.467862792967027	17.573391386532464	0.0033345330893567856
40000	-1937.8059363077728	-1926.0179884657705	-11.787947842002213	-1926.0179884657705	17.573391386532464	-15.25581063496924	0.07471428127086353	0	3.467862792967027	17.573391386532464	0.0032840726041965793
41000	-1937.4708210449744	-1925.41704436663	-12.05377667834423	-1925.41704436663	17.573391386532464	-15.521639471311257	0.08197175873572227	0	3.467862792967027	17.573391386532464	0.0033256611468048805
42000	-1938.470926889618	-1926.7345028460506	-11.736424043567535	-1926.7345028460506	17.57785165007423	-15.399578659333208	0.061353584939347526	0	3.663154615765673	17.57785165007423	0.002863318048237905
43000	-1940.2431802714298	-1927.99907267476	-12.24410759666967	-1927.99907267476	17.57785165007423	-15.907262212435343	0.03288048910711188	0	3.663154615765673	17.57785165007423	0.003308214158878473
44000	-1937.7007312601024	-1925.655217239732	-12.045514020370241	-1925.655217239732	17.572474709510434	-15.448595688392034	0.0927012597426302	0	3.403081668021793	17.572474709510434	0.00322845400754498
45000	-1939.900217195507	-1928.2530222822625	-11.647194913244457	-1928.2530222822625	17.572474709510434	-15.05027658126625	0.07387072128362422	0	3.403081668021793	17.572474709510434	0.004246126109392014
46000	-1938.0144586868473	-1925.2640998913052	-12.750358795541977	-1925.2640998913052	17.57487795839972	-16.30541389755055	0.1175443015439486	0	3.5550551020085743	17.57487795839972	0.003462376088887592
47000	-1938.0372374083631	-1925.87191883683	-12.165318571533216	-1925.87191883683	17.58203771634747	-15.830788784752833	0.10195635908500002	0	3.665470213219617	17.58203771634747	0.0032664208081228346
48000	-1940.2545903515968	-1927.3931534340568	-12.861436917539962	-1927.3931534340568	17.58203771634747	-16.52690713075958	0.023758896801472782	0	3.665470213219617	17.58203771634747	0.0029607714442915923
49000	-1937.6828033885945	-1925.3922164001506	-12.290586988443913	-1925.3922164001506	17.58203771634747	-15.95605720166353	0.09958977143487657	0	3.665470213219617	17.58203771634747	0.003154553965062292
50000	-1939.677922216906	-1925.787520615231	-13.890401601674855	-1925.787520615231	17.563979842575623	-16.293406034949484	0.11530845436964708	0	2.403004433274629	17.563979842575623	0.0031472384085681603
51000	-1939.661323543492	-1926.4810926347493	-13.180230908742796	-1926.4810926347493	17.563225233211835	-15.459498557539854	0.06282996163969364	0	2.279267648797057	17.563225233211835	0.003128694942147495
52000	-1942.3576640098274	-1927.0627028855438	-15.29496112428362	-1927.0627028855438	17.563225233211835	-17.574228773080677	0.1387636181067834	0	2.279267648797057	17.563225233211835	0.0035784585506773653
53000	-1940.241506772497	-1927.4371939146358	-12.804312857861	-1927.4371939146358	17.563225233211835	-15.083580506658057	0.07471791313598046	0	2.279267648797057	17.563225233211835	0.003543759805990103
54000	-1940.1024723064443	-1927.7410029376213	-12.361469368823116	-1927.7410029376213	17.59217311837757	-15.306776966434688	0.0532115999326769	0	2.9453075976115723	17.59217311837757	0.0036408548499640815
55000	-1941.44691886772	-1928.846937018257	-12.599981849462868	-1928.846937018257	17.59217311837757	-15.54528944707444	0.037794412207799874	0	2.9453075976115723	17.59217311837757	0.003098690661770471
56000	-1938.1567542271753	-1925.7496673811563	-12.407086846018982	-1925.7496673811563	17.59217311837757	-15.352394443630555	0.08487595643822017	0	2.9453075976115723	17.59217311837757	0.0031033467216097887
57000	-1939.7709869861974	-1927.067861180474	-12.703125805723467	-1927.067861180474	17.570237510337503	-15.912826436455207	0.11144596720819516	0	3.209700630731741	17.570237510337503	0.003918347759789796
58000	-1939.7550947439217	-1927.2872637638377	-12.467830980084067	-1927.2872637638377	17.591503457664313	-15.492414941694081	0.0835028241669957	0	3.0245839616100145	17.591503457664313	0.003870361807921603
59000	-1940.4565770973584	-1928.1690637535187	-12.287513343839695	-1928.1690637535187	17.591503457664313	-15.31209730544971	0.11641549347578804	0	3.0245839616100145	17.591503457664313	0.0039045490645972193
60000	-1938.2865680642817	-1925.5182752774713	-12.768292786810521	-1925.5182752774713	17.591503457664313	-15.792876748420536	0.032822935830034476	0	3.0245839616100145	17.591503457664313	0.003590544906739918
61000	-1940.2886756361727	-1927.903117896414	-12.385557739758724	-1927.903117896414	17.591503457664313	-15.410141701368739	0.05084632978123553	0	3.0245839616100145	17.591503457664313	0.00378775508913104
62000	-1939.8757952827457	-1928.4259156910418	-11.449879591703759	-1928.4259156910418	17.57113676006932	-14.74332613414321	0.07181952654942138	0	3.293446542439451	17.57113676006932	0.00424887699461329
63000	-1937.9506399843062	-1925.3199920323923	-12.63064795191388	-1925.3199920323923	17.59614609154749	-15.013398243397583	0.06929637998048568	0	2.3827502914837027	17.59614609154749	0.0035795998146965183
64000	-1939.2909277230842	-1927.0346483271564	-12.256279395927677	-1927.0346483271564	17.567776106851994	-15.195393230241988	0.059161503407640585	0	2.9391138343143117	17.567776106851994	0.0038299349830871535
65000	-1939.4519441182815	-1927.1621072479406	-12.289836870340945	-1927.1621072479406	17.58887978807343	-15.581815341978984	0.1000950154003383	0	3.29197847163804	17.58887978807343	0.0040951484187954955
66000	-1938.0861596978623	-1925.5944564380268	-12.491703259835553	-1925.5944564380268	17.58887978807343	-15.783681731473592	0.03128031500646443	0	3.29197847163804	17.58887978807343	0.0035843804840531087
67000	-1941.5854920356962	-1928.645839102526	-12.939652933170327	-1928.645839102526	17.57554502790438	-16.526650704090024	0.14424973508159253	0	3.586997770919696	17.57554502790438	0.004206582921603583
68000	-1939.954500320082	-1928.1555710379332	-11.798929282148624	-1928.1555710379332	17.57554502790438	-15.38592705306832	0.04535691530856485	0	3.586997770919696	17.57554502790438	0.003600763806813585
69000	-1939.5799660622408	-1927.536605262631	-12.043360799609864	-1927.536605262631	17.590314629437053	-15.197634550274513	0.045296280788025146	0	3.1542737506646485	17.590314629437053	0.003811153435417081
70000	-1937.146921252873	-1925.7756510399558	-11.37127021291714	-1925.7756510399558	17.580549572667515	-15.055991715116154	0.07079871781619658	0	3.684721502199013	17.580549572667515	0.0037762016336447004
71000	-1939.051386410324	-1927.1646513299686	-11.88673508035548	-1927.1646513299686	17.572030128237866	-15.25537245361476	0.09523076665615601	0	3.368637373259279	17.572030128237866	0.003141888956233054
