#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ClockPrior.c:primates" name="distribution">
#            <parameter id="clockRate.c:primates" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="all.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:primates">
#            <taxonset id="all" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="chimp" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="gorilla" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="human" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="orangutan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="siamang" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">17.58</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="sigma">0.01</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:primates" id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	logP(mrca(all))	mrcatime(all)	clockRate
0	-1323598.8158320838	-3673.1089481863255	-1319925.7068838975	-3673.1089481863255	1.3323826671686172	-4.048144936603629	1.0	-1319921.658738961	1.3323826671686172	1.0
1000	-2715.8907367030065	-2704.479103709391	-11.41163299361536	-2704.479103709391	17.590720302767334	-14.523240189282049	0.2564309359162065	3.11160719566669	17.590720302767334	0.5115140508475137
2000	-2713.8080831618313	-2704.1636089143094	-9.64447424752208	-2704.1636089143094	17.590720302767334	-12.756081443188771	0.12798159180384094	3.11160719566669	17.590720302767334	0.3632530063068619
3000	-2713.646087678538	-2704.5006950432694	-9.145392635268973	-2704.5006950432694	17.582854921280944	-12.790871410450404	0.13165414343086762	3.64547877518143	17.582854921280944	0.24692697671734984
4000	-2715.4503728674117	-2705.141850558392	-10.308522309019793	-2705.141850558392	17.582854921280944	-13.954001084201224	0.22511685839264314	3.64547877518143	17.582854921280944	0.30570084736776415
5000	-2712.559486350374	-2702.2595196624534	-10.299966687920316	-2702.2595196624534	17.591907033605153	-13.277311094332283	0.18120211540014558	2.977344406411967	17.591907033605153	0.2532967652240609
6000	-2714.4590322992	-2703.650274899296	-10.80875739990371	-2703.650274899296	17.591907033605153	-13.786101806315678	0.2153266396421179	2.977344406411967	17.591907033605153	0.3069589179178419
7000	-2714.4921152648058	-2705.225978146489	-9.266137118316731	-2705.225978146489	17.584648483696338	-12.844326767724484	0.0887734197726252	3.578189649407752	17.584648483696338	0.3035698769857333
8000	-2715.039388506214	-2705.84931185411	-9.19007665210373	-2705.84931185411	17.57461801121697	-12.731479288583918	0.10413698978056243	3.541402636480188	17.57461801121697	0.5131596571215316
9000	-2713.845739806004	-2704.6679670002354	-9.177772805768758	-2704.6679670002354	17.57461801121697	-12.719175442248945	0.11379789003175496	3.541402636480188	17.57461801121697	0.5294905972792229
10000	-2712.203150417726	-2702.9870655068	-9.216084910926462	-2702.9870655068	17.57461801121697	-12.75748754740665	0.09810469337320575	3.541402636480188	17.57461801121697	0.41366287930484563
11000	-2711.804234811891	-2702.692360359575	-9.111874452316114	-2702.692360359575	17.577665172827825	-12.770849015479929	0.09586679562188313	3.6589745631638153	17.577665172827825	0.47943798257968956
12000	-2714.096425741873	-2703.3563300588903	-10.740095682982872	-2703.3563300588903	17.577665172827825	-14.399070246146687	0.2503466167366669	3.6589745631638153	17.577665172827825	0.4568147991867392
13000	-2713.722722088079	-2702.4643524845214	-11.258369603557801	-2702.4643524845214	17.564361975427673	-13.721862193717932	0.21331504059339507	2.4634925901601306	17.564361975427673	0.4362214363250986
