Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT	
0	-1771.8684282870227	-1775.7784551594366	3.910026872413943	-1775.7784551594366	0.06797953330661369	5.799094060186902	31.32037190429053	0.27090149546689657	0.2875639656243112	0.16587659247422118	0.27565794643457125	0.06824987977923977	1.1571695090569856	0.031819713206221206	0.008927191901622444	0.025996295278283642	
1	-1771.8684282870227	-1775.7784551594366	3.910026872413943	-1775.7784551594366	0.06797953330661369	5.799094060186902	31.32037190429053	0.27090149546689657	0.2875639656243112	0.16587659247422118	0.27565794643457125	0.06824987977923977	1.1571695090569856	0.031819713206221206	0.008927191901622444	0.025996295278283642	
2	-1772.4053181830016	-1775.5391177057013	3.1337995226998174	-1775.5391177057013	0.06735583099845605	6.774008997525494	22.720047160882686	0.27090149546689657	0.29102454094041375	0.15931057522585884	0.27876338836683107	0.06909528502194436	1.1571695090569856	0.051795501716727546	0.01900281216868832	0.04656416100830286	
3	-1772.4053181830016	-1775.5391177057013	3.1337995226998174	-1775.5391177057013	0.06735583099845605	6.774008997525494	22.720047160882686	0.27090149546689657	0.29102454094041375	0.15931057522585884	0.27876338836683107	0.06909528502194436	1.1571695090569856	0.051795501716727546	0.01900281216868832	0.04656416100830286	
4	-1768.303172917371	-1772.7845052137081	4.481332296336983	-1772.7845052137081	0.0714877664789252	6.9456452864335185	12.434138136829167	0.2791747158071633	0.28923092618255464	0.16607594752416843	0.2655184104861138	0.053095113157678564	0.9035618022986226	0.034600177747806625	0.020027117467073773	0.03255684420021769	
5	-1768.303172917371	-1772.7845052137081	4.481332296336983	-1772.7845052137081	0.0714877664789252	6.9456452864335185	12.434138136829167	0.2791747158071633	0.28923092618255464	0.16607594752416843	0.2655184104861138	0.053095113157678564	0.9035618022986226	0.034600177747806625	0.020027117467073773	0.03255684420021769	
6	-1768.303172917371	-1772.7845052137081	4.481332296336983	-1772.7845052137081	0.0714877664789252	6.9456452864335185	12.434138136829167	0.2791747158071633	0.28923092618255464	0.16607594752416843	0.2655184104861138	0.053095113157678564	0.9035618022986226	0.034600177747806625	0.020027117467073773	0.03255684420021769	
7	-1768.6585655193783	-1771.3551173540093	2.696551834631006	-1771.3551173540093	0.06561739228530142	6.497102752240821	32.961549568636535	0.28561821290614786	0.2710341332053772	0.16633948811232946	0.2770081657761456	0.07186878099627747	0.8446367399870554	0.05170962621693585	0.04291248283434628	0.032696708568350066	
8	-1768.6585655193783	-1771.3551173540093	2.696551834631006	-1771.3551173540093	0.06561739228530142	6.497102752240821	32.961549568636535	0.28561821290614786	0.2710341332053772	0.16633948811232946	0.2770081657761456	0.07186878099627747	0.8446367399870554	0.05170962621693585	0.04291248283434628	0.032696708568350066	
9	-1766.8169575322424	-1771.2034105953242	4.386453063081625	-1771.2034105953242	0.058352180409506973	7.3929094970188745	13.759787790291819	0.2923031218764724	0.2626837221791227	0.1676832714330279	0.2773298845113772	0.050374337083944454	0.7631023336508622	0.05170962621693585	0.026199468299614292	0.036949392615554334	
10	-1758.231749690838	-1766.5723296089761	8.340579918138287	-1766.5723296089761	0.05956624395145537	7.596201863370963	15.561459010351465	0.3253342338458735	0.25666273926630445	0.15136713990310943	0.26663588698471286	0.04582282482115337	0.8136230974193654	0.019426084699408146	0.021715617274044342	0.002372540946589466	
